linha,endereco,sku,produto_planilha,quantidade,produto_match,origem_match,score,revisar
16,A10,,QUIMIVIDA NAFTALINA 1KG,3,QUIMIVIDA NAFTALINA 1KG,planilha,0,sim
17,A10,,QUIMIVIDA DIA A DIA 1KG,3,QUIMIVIDA DIA A DIA 1KG,planilha,0,sim
18,A10,,QUIMIVIDA IMPERMEABILIZANTE DE VIDROS 120ML,794,QUIMIVIDA IMPERMEABILIZANTE DE VIDROS 120ML,planilha,0,sim
19,A10,HIGANTIMOF,HIGIENITA ANTI-MOFO 1KG,0,HIGIENITA ANTI-MOFO 1KG,catalogo,100,
20,A11,SCTCH,SCOTCH BRITE,42,SCOTCH BRITE ESPONJA 3M,catalogo,87.6,
21,A12,THINTVG,THORIUM INTERFOLHA VIRGEM,252,"THORIUM INTERFOLHA VIRGEM 22,5X21",catalogo,99.0,
22,A13,QVLPMQLV1L,QUIMIVIDA LIMPA MAQUINA 1L,25,QUIMIVIDA LIMPADOR DE MAQUINA DE LAVAR 1L,catalogo,76.7,sim
23,A14,HIGPERCA,HIGIENITA PERCARBONATO 1KG,398,HIGIENITA PERCARBONATO 1KG,catalogo,100,
24,A14,HIGANTIMOF,HIGIENITA ANTI-MOFO 1KG,0,HIGIENITA ANTI-MOFO 1KG,catalogo,100,
25,A14,HGPCBLA,HIGIENITA PERCARBONATO BLACK 1KG,0,HIGIENITA PERCARBONATO BLACK 1KG,catalogo,100,
26,A15,HIGMANBOR,HIGIENITA BORRIFADOR MANUAL 2L,487,HIGIENITA GERADOR DE ESPUMA MANUAL BORRIFADOR 2L MATERIAL PP,catalogo,72.6,sim
